couponCode,UDID
1,JNXqmLZDf*vL0Cf7
2,HkbPbOwU9Z-Ut3Zh
3,2btxBLSziarBfKpB
4,wnNZzg-GsoVE5Ar8
5,CwxrqRVgaQhfZ*IK
6,hxaXJfG5CnWrBG8E
7,GT8U3aoToYvws7eX
8,ah-N4SXzXVz2Q5J4
9,3VtP26cBiR8vhL0H
10,EOGqhOb*8RPW*Riu
11,JNDnIARvdnz8aWxc
12,D-v8AJ2SZPD9WOvK
13,MevqHxgZqlbGk*Y*
14,wTzG9QFdfR8f25g3
15,wg8R9HgCOMNHiV9Y
16,jyto6BanQj9aB3XX
17,yOwmSFBtu1e29e63
18,NejwKCrqnUzSV94q
19,UELUlpNZX4Spy9eu
20,Aq5BwxiNYn6erSxP
21,Xi-DpiMyrMqFxir0
22,6*B8Vk1o8UrqEPIS
23,LjhaWd6C9VABTfSY
24,YFoyYsXsbf-ixYct
25,C519GZdXKSIsnbs3
26,oNvEEWp1kuJ*QPBo
27,iA08CAibXtWaKfN0
28,kuVmX2qdn1846t0Q
29,*FLRy9pRW8ePKFau
30,4ZxTInU7kvZd5Qd*
31,pL3SvXZFY5vXHI6h
32,8Ma9DcR07ibUCPoh
33,c5TMCypghIKGIpV6
34,Kg9e4pGn-4PqZRme
35,QcSL-aFXBGfti-M4
36,ZM2b4MgU5Rx8SllI
37,6kFsnKOGYHPHYSQz
38,gxsCifKLN7PcIKXp
39,5bNBoU8nYLcLKpCn
40,GroYUcGx5Gv*YnEg
41,CFwcqj8nZCY5IIc-
42,zEpxKK8EQWMdHF9U
43,HoRPWYkgPjtJWa*5
44,nZ0czNffKJGjuKqK
45,dG0lSgGy8k7TFcGv
46,3a5Csfx6CDrji6im
47,jo15Fo7o0EiLyzET
48,kFmsql9yzzRUbjUq
49,fM7CkM-xSExUDg-K
50,E77C07LqKSljTINr
51,wHR1Zqk8CDbU33Ff
52,ivxUiolwe9sE1NMk
53,W31ucCU3inojZ6ti
54,mlecY-biKTE9YXUp
55,xgNVz6OTdF8MGWmZ
